date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:50:05	42857/42857	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Dec%202020%2006:20:05%20GMT	https://www.redapt.com/capabilities/cloud-engineering/emerging-technology-integration	C:/My%20Web%20Sites/att/www.redapt.com/capabilities/cloud-engineering/emerging-technology-integration.html	(from https://www.redapt.com/)
11:50:08	40904/40904	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Dec%202020%2006:20:06%20GMT	https://www.redapt.com/capabilities/business-transformation	C:/My%20Web%20Sites/att/www.redapt.com/capabilities/business-transformation.html	(from https://www.redapt.com/)
11:50:08	41758/41758	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Dec%202020%2006:20:06%20GMT	https://www.redapt.com/capabilities/business-transformation/cloud-native-apps	C:/My%20Web%20Sites/att/www.redapt.com/capabilities/business-transformation/cloud-native-apps.html	(from https://www.redapt.com/)
11:50:08	43347/43347	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Dec%202020%2006:20:08%20GMT	https://www.redapt.com/capabilities/business-transformation/advanced-data-and-analytics	C:/My%20Web%20Sites/att/www.redapt.com/capabilities/business-transformation/advanced-data-and-analytics.html	(from https://www.redapt.com/)
11:50:09	42629/42629	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Dec%202020%2006:20:09%20GMT	https://www.redapt.com/capabilities/business-transformation/artificial-intelligence	C:/My%20Web%20Sites/att/www.redapt.com/capabilities/business-transformation/artificial-intelligence.html	(from https://www.redapt.com/)
11:50:09	41226/41226	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Dec%202020%2006:20:09%20GMT	https://www.redapt.com/capabilities/business-transformation/devops-enablement	C:/My%20Web%20Sites/att/www.redapt.com/capabilities/business-transformation/devops-enablement.html	(from https://www.redapt.com/)
11:50:10	42695/42695	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Dec%202020%2006:20:10%20GMT	https://www.redapt.com/capabilities/business-transformation/iot-and-edge-solutions	C:/My%20Web%20Sites/att/www.redapt.com/capabilities/business-transformation/iot-and-edge-solutions.html	(from https://www.redapt.com/)
11:50:11	41306/41306	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Dec%202020%2006:20:10%20GMT	https://www.redapt.com/results	C:/My%20Web%20Sites/att/www.redapt.com/results.html	(from https://www.redapt.com/)
11:50:11	59265/59265	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Dec%202020%2006:20:11%20GMT	https://www.redapt.com/insights	C:/My%20Web%20Sites/att/www.redapt.com/insights.html	(from https://www.redapt.com/)
11:50:12	38568/38568	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Dec%202020%2006:20:12%20GMT	https://www.redapt.com/blog	C:/My%20Web%20Sites/att/www.redapt.com/blog.html	(from https://www.redapt.com/)
11:50:13	33513/33513	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Dec%202020%2006:20:12%20GMT	https://www.redapt.com/events	C:/My%20Web%20Sites/att/www.redapt.com/events.html	(from https://www.redapt.com/)
11:50:13	102370/102370	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Dec%202020%2006:20:13%20GMT	https://www.redapt.com/insights/resources	C:/My%20Web%20Sites/att/www.redapt.com/insights/resources.html	(from https://www.redapt.com/)
11:50:14	54766/54766	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Dec%202020%2006:20:13%20GMT	https://www.redapt.com/partners	C:/My%20Web%20Sites/att/www.redapt.com/partners.html	(from https://www.redapt.com/)
11:50:14	40622/40622	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Dec%202020%2006:20:14%20GMT	https://www.redapt.com/careers	C:/My%20Web%20Sites/att/www.redapt.com/careers.html	(from https://www.redapt.com/)
11:50:15	30773/30773	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Dec%202020%2006:20:15%20GMT	https://www.redapt.com/careers/openings	C:/My%20Web%20Sites/att/www.redapt.com/careers/openings.html	(from https://www.redapt.com/)
11:50:15	42233/42233	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Dec%202020%2006:20:15%20GMT	https://www.redapt.com/about	C:/My%20Web%20Sites/att/www.redapt.com/about.html	(from https://www.redapt.com/)
11:50:16	43234/43234	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Dec%202020%2006:20:16%20GMT	https://www.redapt.com/newsroom	C:/My%20Web%20Sites/att/www.redapt.com/newsroom.html	(from https://www.redapt.com/)
11:50:16	54533/54533	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Dec%202020%2006:20:16%20GMT	https://www.redapt.com/about/leadership	C:/My%20Web%20Sites/att/www.redapt.com/about/leadership.html	(from https://www.redapt.com/)
11:50:18	28579/28579	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Dec%202020%2006:20:17%20GMT	https://www.redapt.com/contact	C:/My%20Web%20Sites/att/www.redapt.com/contact.html	(from https://www.redapt.com/)
11:50:19	43830/43830	---MCZ	200	added ('OK')	text/html	etag:W/%2278cd0af80e5549523f844475258a1a3d%22	https://www.redapt.com/blog/business-continuity-through-covid-19	C:/My%20Web%20Sites/att/www.redapt.com/blog/business-continuity-through-covid-19.html	(from https://www.redapt.com/)
11:50:20	48696/48696	---MCZ	200	added ('OK')	text/html	etag:W/%22d999c12419563548793af604d35ea740%22	https://www.redapt.com/blog/2020-the-year-of-remote-work-culture	C:/My%20Web%20Sites/att/www.redapt.com/blog/2020-the-year-of-remote-work-culture.html	(from https://www.redapt.com/)
11:50:21	582930/582930	---M--	200	added ('OK')	image/png	etag:%2232cc4ab9e66171a3fec3b59d9df8fd7a%22	https://www.redapt.com/hubfs/redapt-guide-mockup_data-analytics_pillar-page.png	C:/My%20Web%20Sites/att/www.redapt.com/hubfs/redapt-guide-mockup_data-analytics_pillar-page.png	(from https://www.redapt.com/)
11:50:21	37386/37386	---MCZ	200	added ('OK')	text/html	etag:W/%227c4957114b13326c450269d665e00494%22	https://www.redapt.com/events/redapt-webinar-ensuring-governance-and-security-in-the-age-of-remote-working-with-windows-virtual-desktop	C:/My%20Web%20Sites/att/www.redapt.com/events/redapt-webinar-ensuring-governance-and-security-in-the-age-of-remote-working-with-windows-virtual-desktop.html	(from https://www.redapt.com/)
11:50:22	181014/181014	---M--	200	added ('OK')	image/png	etag:%22945b828e3582265372717e86614ecc7b%22	https://www.redapt.com/hubfs/redapt_video-mockup_governance-security-webinar_azure-logo.png	C:/My%20Web%20Sites/att/www.redapt.com/hubfs/redapt_video-mockup_governance-security-webinar_azure-logo.png	(from https://www.redapt.com/)
11:50:24	142488/142488	---M--	200	added ('OK')	image/jpeg	etag:%22d18b4ae9b212f21eda7381e5bcb9f7e8%22	https://cdn2.hubspot.net/hub/6151115/hubfs/David-and-Rick-homepage-hero-image-(business-resilience).jpg?length=1600&name=David-and-Rick-homepage-hero-image-%28business-resilience%29.jpg	C:/My%20Web%20Sites/att/cdn2.hubspot.net/hub/6151115/hubfs/David-and-Rick-homepage-hero-image-(business-resilience)aae2.jpg	(from https://www.redapt.com/)
11:50:25	59196/59196	---M--	200	added ('OK')	image/jpeg	etag:%226e8d8e7dadb1b893577863a36a853b29%22	https://f.hubspotusercontent10.net/hub/6151115/hubfs/_illustrations/globe-people-remote-work_header.jpg?length=1600&name=globe-people-remote-work_header.jpg	C:/My%20Web%20Sites/att/f.hubspotusercontent10.net/hub/6151115/hubfs/_illustrations/globe-people-remote-work_headerdd4c.jpg	(from https://www.redapt.com/)
11:50:25	441112/441112	---M--	200	added ('OK')	image/jpeg	etag:%2256f56eead44a5ba9baa03db128388a72%22	https://cdn2.hubspot.net/hub/6151115/hubfs/_photography/skyscrapers_2.jpg?length=1600&name=skyscrapers_2.jpg	C:/My%20Web%20Sites/att/cdn2.hubspot.net/hub/6151115/hubfs/_photography/skyscrapers_2449d.jpg	(from https://www.redapt.com/)
11:50:26	857/857	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22daeae49873a608ae640552352fbeb929%22	https://www.redapt.com/hubfs/Redapt%202019/icons/bulb.svg	C:/My%20Web%20Sites/att/www.redapt.com/hubfs/Redapt%202019/icons/bulb.svg	(from https://www.redapt.com/)
11:50:26	436989/436989	---M--	200	added ('OK')	image/jpeg	etag:%221a6179051a5ba75c9c90ccf0804ebeff%22	https://cdn2.hubspot.net/hub/6151115/hubfs/_photography/AdobeStock_220372535.jpeg?length=1600&name=AdobeStock_220372535.jpeg	C:/My%20Web%20Sites/att/cdn2.hubspot.net/hub/6151115/hubfs/_photography/AdobeStock_220372535eaf0.jpg	(from https://www.redapt.com/)
11:50:26	1715/1715	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22ee56ab32f7dc7e61cb5872054c29bb22%22	https://www.redapt.com/hubfs/Redapt%202019/icons/rack.svg	C:/My%20Web%20Sites/att/www.redapt.com/hubfs/Redapt%202019/icons/rack.svg	(from https://www.redapt.com/)
11:50:27	1477/1477	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22342573b9e188b5e3c57b427e25b05189%22	https://www.redapt.com/hubfs/Redapt%202019/icons/people.svg	C:/My%20Web%20Sites/att/www.redapt.com/hubfs/Redapt%202019/icons/people.svg	(from https://www.redapt.com/)
11:50:27	38105/38105	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Dec%202020%2006:20:27%20GMT	https://www.redapt.com/results/kickstarting-higher-performance	C:/My%20Web%20Sites/att/www.redapt.com/results/kickstarting-higher-performance.html	(from https://www.redapt.com/)
11:50:28	37498/37498	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Dec%202020%2006:20:28%20GMT	https://www.redapt.com/results/smarter-data-informed-decisions	C:/My%20Web%20Sites/att/www.redapt.com/results/smarter-data-informed-decisions.html	(from https://www.redapt.com/)
11:50:28	37814/37814	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Dec%202020%2006:20:28%20GMT	https://www.redapt.com/results/a-modern-platform-to-unify-data-from-hundreds-of-resources	C:/My%20Web%20Sites/att/www.redapt.com/results/a-modern-platform-to-unify-data-from-hundreds-of-resources.html	(from https://www.redapt.com/)
11:50:29	520767/520767	---M--	200	added ('OK')	image/jpeg	etag:%22fd88a3891a5161687337e2eaa19c8044%22	https://f.hubspotusercontent10.net/hub/6151115/hubfs/_photography/database-structure.jpeg?height=1600&name=database-structure.jpeg	C:/My%20Web%20Sites/att/f.hubspotusercontent10.net/hub/6151115/hubfs/_photography/database-structure1e86.jpg	(from https://www.redapt.com/)
11:50:30	255351/255351	---M--	200	added ('OK')	image/jpeg	etag:%22aedef9621c6d20a5fb9eee65c5342138%22	https://f.hubspotusercontent10.net/hub/6151115/hubfs/AdobeStock_89750085.jpeg?height=1600&name=AdobeStock_89750085.jpeg	C:/My%20Web%20Sites/att/f.hubspotusercontent10.net/hub/6151115/hubfs/AdobeStock_897500853fb4.jpg	(from https://www.redapt.com/)
11:50:30	89413/89413	---M--	200	added ('OK')	image/jpeg	etag:%225aecde995b817d999a84481835e52b92%22	https://www.redapt.com/hubfs/_photography/consulting-and-strategy-Homepage.jpg	C:/My%20Web%20Sites/att/www.redapt.com/hubfs/_photography/consulting-and-strategy-Homepage.jpg	(from https://www.redapt.com/)
11:50:31	377087/377087	---M--	200	added ('OK')	image/jpeg	etag:%2280df14d4552e24daad98cabc55acd25c%22	https://cdn2.hubspot.net/hub/6151115/hubfs/_photography/Restaurant_Dinner_Table.jpeg?height=1600&name=Restaurant_Dinner_Table.jpeg	C:/My%20Web%20Sites/att/cdn2.hubspot.net/hub/6151115/hubfs/_photography/Restaurant_Dinner_Tablee35a.jpg	(from https://www.redapt.com/)
11:50:31	99889/99889	---M--	200	added ('OK')	image/jpeg	etag:%22122b39de2ccef0bd94508c8e586844d8%22	https://www.redapt.com/hubfs/_photography/infrastructure-systems-integration-Homepage.jpg	C:/My%20Web%20Sites/att/www.redapt.com/hubfs/_photography/infrastructure-systems-integration-Homepage.jpg	(from https://www.redapt.com/)
11:50:31	83011/83011	---M--	200	added ('OK')	image/jpeg	etag:%228446239e0d511f021344aaaee893a320%22	https://www.redapt.com/hubfs/_photography/public-cloud-implementation-Homepage.jpg	C:/My%20Web%20Sites/att/www.redapt.com/hubfs/_photography/public-cloud-implementation-Homepage.jpg	(from https://www.redapt.com/)
11:50:31	103464/103464	---M--	200	added ('OK')	image/png	etag:%222b991a957412407502b09ad139be2f64%22	https://cdn2.hubspot.net/hub/6151115/hubfs/Tech%20Maturity%20Model%20eBook/Redapt-Tech-Maturity-Model-Preview-All.png?height=400&name=Redapt-Tech-Maturity-Model-Preview-All.png	C:/My%20Web%20Sites/att/cdn2.hubspot.net/hub/6151115/hubfs/Tech%20Maturity%20Model%20eBook/Redapt-Tech-Maturity-Model-Preview-Allc699.png	(from https://www.redapt.com/)
11:50:32	155607/155607	---M--	200	added ('OK')	image/png	etag:%22fabd6d71c514d1a975988cf5d1a91fc7%22	https://www.redapt.com/hubfs/Tech%20Maturity%20Model%20eBook/tech-maturity-model_ebook_mockup.png	C:/My%20Web%20Sites/att/www.redapt.com/hubfs/Tech%20Maturity%20Model%20eBook/tech-maturity-model_ebook_mockup.png	(from https://www.redapt.com/)
11:50:33	1012635/1012635	---M--	200	added ('OK')	image/png	etag:%22d2f62296b296724e47e906c185897f02%22	https://www.redapt.com/hubfs/redapt-guide-mockup-business-resilinece-web.png	C:/My%20Web%20Sites/att/www.redapt.com/hubfs/redapt-guide-mockup-business-resilinece-web.png	(from https://www.redapt.com/)
11:50:33	710514/710514	---M--	200	added ('OK')	image/png	etag:%2211c5b850f2dc55ca7eb3b1b02e2705d8%22	https://www.redapt.com/hubfs/redapt-guide-mockup_microservices.png	C:/My%20Web%20Sites/att/www.redapt.com/hubfs/redapt-guide-mockup_microservices.png	(from https://www.redapt.com/)
11:50:33	73252/73252	---MCZ	200	added ('OK')	text/html	etag:W/%22a003b82b267a3e810c19385c1222c586%22	https://www.redapt.com/blog/watch-the-webinar-modernizing-your-applications-for-the-cloud	C:/My%20Web%20Sites/att/www.redapt.com/blog/watch-the-webinar-modernizing-your-applications-for-the-cloud.html	(from https://www.redapt.com/)
11:50:34	17584/17584	---M--	200	added ('OK')	image/jpeg	etag:%22c4d0def0ef30447450cac2dff79e70c7%22	https://f.hubspotusercontent10.net/hub/6151115/hubfs/net-app-mod-in-a-day_blog-header.jpg?height=400&name=net-app-mod-in-a-day_blog-header.jpg	C:/My%20Web%20Sites/att/f.hubspotusercontent10.net/hub/6151115/hubfs/net-app-mod-in-a-day_blog-headerb85c.jpg	(from https://www.redapt.com/)
11:50:34	54948/54948	---MCZ	200	added ('OK')	text/html	etag:W/%22d4d80281139327f31fdd18706cc1c27b%22	https://www.redapt.com/blog/is-your-remote-work-strategy-bulletproof	C:/My%20Web%20Sites/att/www.redapt.com/blog/is-your-remote-work-strategy-bulletproof.html	(from https://www.redapt.com/)
11:50:34	98100/98100	---M--	200	added ('OK')	image/jpeg	etag:%22275be89d40e5ccb15f2fa0fc2997cad2%22	https://f.hubspotusercontent10.net/hub/6151115/hubfs/Imported%20images/global-connections.jpg?height=400&name=global-connections.jpg	C:/My%20Web%20Sites/att/f.hubspotusercontent10.net/hub/6151115/hubfs/Imported%20images/global-connections9984.jpg	(from https://www.redapt.com/)
11:50:35	47665/47665	---MCZ	200	added ('OK')	text/html	etag:W/%22ef3db0074fe55d2b45b4f31967086286%22	https://www.redapt.com/blog/using-windows-virtual-desktop-to-ensure-data-governance-and-security	C:/My%20Web%20Sites/att/www.redapt.com/blog/using-windows-virtual-desktop-to-ensure-data-governance-and-security.html	(from https://www.redapt.com/)
11:50:35	16903/16903	---M--	200	added ('OK')	image/jpeg	etag:%22c7fa83d87195dbe542cc8e40803c663e%22	https://f.hubspotusercontent10.net/hub/6151115/hubfs/_illustrations/security-governance_illustration.jpg?height=400&name=security-governance_illustration.jpg	C:/My%20Web%20Sites/att/f.hubspotusercontent10.net/hub/6151115/hubfs/_illustrations/security-governance_illustration8a0d.jpg	(from https://www.redapt.com/)
11:50:36	51892/51892	---MCZ	200	added ('OK')	text/html	etag:W/%2288c74533ada80cd2c96fdded51a208c3%22	https://www.redapt.com/blog/top-3-considerations-when-migrating-an-existing-application-to-the-cloud	C:/My%20Web%20Sites/att/www.redapt.com/blog/top-3-considerations-when-migrating-an-existing-application-to-the-cloud.html	(from https://www.redapt.com/)
